"Gene_id","A02","A03","A04","A05","A06","A07","A09","A10","B01","B02","B03","B04","B05","B06","B07","B09","B10","C01","C02","C03","C04","C05","C07","C09","C10","D01","D02","D04","D05","D06","D07","D09","D10","E01","E02","E03","E05","E07","E09","E10","F01","F02","F03","F04","F05","F06","F07","F09","G01","G02","G03","G05","G06","G07","G09","G10","H01","H02","H03","H09","H10"
"ENSMUSG00000060461",2,2,220,29,5200,23,52,7140,18976,7616,908,31719,22428,28287,14150,25489,46848,611,28411,7,15816,18935,28314,2551,700,2586,0,105,14470,12377,28,1976,15476,34668,75,14404,4184,1688,41508,1830,43652,3531,151,4569,1008,9210,11483,7597,1337,66,4,15,6422,123,3,250,10,15473,35459,43698,36394
"ENSMUSG00000049382",23304,514,101,10397,43,14562,11648,2101,5600,177,13790,0,2,0,0,3,2,3,2,33942,623,6,0,176,375,96,260,0,0,720,1351,4060,521,0,965,3,1,2660,0,74,119,1748,386,1524,2279,0,0,10,1387,1778,38650,26785,191,23,12195,229,25395,0,2,319,6
"ENSMUSG00000032366",11346,2952,8258,8542,443,6452,7978,2470,1994,2697,10843,57,578,215,1042,97,1944,3172,375,8100,906,230,67,2129,4268,3465,1410,4202,32,368,2331,4412,626,403,4521,94,1111,4355,4,4244,938,4033,857,2322,8069,587,383,4464,2815,6349,20678,16379,9265,4986,10192,4211,8138,464,348,6713,410
"ENSMUSG00000032085",10045,351,286,4159,269,615,3617,53,1275,361,1018,148,1,203,0,0,0,165,0,2533,284,0,31,1201,753,330,584,1614,9,93,339,943,0,0,3222,0,0,1500,0,2574,3,651,278,647,2314,25,0,503,2890,2541,21446,12690,923,2818,340,1402,752,0,0,4078,0
"ENSMUSG00000020914",918,3350,1440,1786,756,2618,3619,6203,614,7111,8595,6647,498,0,2703,4077,636,4863,3444,2927,5446,2258,4398,4574,8267,2242,8953,12854,3545,129,307,38,117,2884,101,5412,3052,376,2002,1413,734,357,4525,833,6499,0,3415,2,11059,3843,0,7185,4618,4556,0,113,23684,1011,4003,10535,3743
"ENSMUSG00000029304",2381,524,0,0,1047,6619,181,11115,456,2,770,1,9282,0,0,3694,14485,3926,3791,92,1694,2648,2458,0,8171,3190,3,0,796,0,3,676,3,10610,94,2,1,364,44,935,11587,6003,1,1067,0,4,2,0,823,2304,7,3,5,806,1,3,2,3283,5327,12121,4790
"ENSMUSG00000002265",3783,2759,15515,3102,42,6980,0,267,671,336,2789,1255,17,28,1249,215,0,4068,644,7244,221,892,46,696,1303,0,448,3983,638,245,1597,18,530,0,101,2,73,388,998,649,0,812,1574,1820,1381,31,206,29,875,3716,20559,9946,3129,0,9866,938,2420,0,123,2326,1127
"ENSMUSG00000020407",0,0,0,296,609,45,0,0,315,0,0,655,2209,263,259,402,5710,578,12420,103,6019,3491,3413,0,778,4,0,4,6589,1324,10247,2,0,8768,3,1567,41,0,6298,373,2863,861,528,0,7,5709,133,172,920,1615,2,17848,0,142,3,40,2,2881,1853,0,2169
"ENSMUSG00000038793",0,13257,18928,6,108,3,925,2,1,8062,0,0,2,756,4,0,0,4002,0,0,0,2,194,2480,0,2560,10432,15915,1,788,2144,3,544,0,0,1395,2234,67,2504,252,2,7,3527,237,11821,2442,6,5975,332,197,0,0,867,307,985,1775,1527,3,3,1668,0
"ENSMUSG00000028645",3023,7333,2303,15118,3,5598,2163,1427,2736,2259,2612,1167,728,4297,1671,3057,4,2082,2577,10862,433,6751,7059,1,2272,2909,3442,5316,2566,3660,1182,1113,424,1453,3194,6059,2521,3366,1047,1229,0,1926,1825,4755,1635,958,1163,3966,1752,6659,10164,6008,3422,3279,0,3717,11647,6181,4288,484,1848
"ENSMUSG00000007872",224,658,1463,20242,2455,767,489,405,169,119,815,1185,0,572,0,0,5251,3395,2,2112,0,3994,1505,2206,2,3,1466,3131,202,206,0,298,2938,2,3071,3347,5,4820,0,421,957,93,147,425,132,0,165,1569,3859,3710,0,1393,659,0,735,103,431,1249,3033,0,229
"ENSMUSG00000023043",6630,636,1832,3440,958,6972,3948,979,3437,2,7508,0,0,0,10,4,0,7,1,11672,0,0,0,93,189,820,481,18,0,201,0,1612,420,0,1811,366,671,358,0,287,0,1556,0,956,615,0,0,0,0,907,12749,9106,93,77,2617,1448,7680,0,0,517,0
"ENSMUSG00000025287",14711,2754,669,5276,884,1262,3056,2892,4709,1946,3184,2195,2261,634,789,1682,4265,1157,2226,2645,997,493,114,2232,1212,994,863,5825,0,1691,610,494,1592,0,6204,921,57,1487,110,642,3229,937,1601,938,1779,1113,1342,1192,6650,3758,8171,5493,8,1269,567,1963,2811,0,573,6155,3995
"ENSMUSG00000029484",10565,1406,1263,6198,130,3307,3733,4166,4212,2815,6699,588,32,0,0,0,1567,1625,0,6154,387,9,5,733,537,3203,1119,2252,0,3,367,3505,0,0,3993,0,0,3641,0,82,635,2691,575,2340,3669,0,0,4892,8408,4123,4073,6132,4,2364,1902,1674,5983,0,0,7131,5
"ENSMUSG00000028179",4722,1722,3718,6822,638,4,2528,2437,1361,2816,2853,1583,0,345,288,0,1252,2270,994,10474,936,0,0,985,785,944,1078,6879,23,501,947,1043,0,5,1006,638,1236,1760,730,469,534,1523,549,1044,2989,0,952,573,8305,1218,2262,8360,1714,2192,195,2436,4576,0,1052,8348,2
"ENSMUSG00000036782",566,0,553,0,600,0,567,755,258,593,0,1135,4728,2,955,2751,5254,0,0,0,481,408,698,0,13,573,0,286,7728,349,53,740,115,2721,0,0,0,2,1853,0,2,1,0,111,0,0,0,0,0,0,0,0,54,1042,865,0,0,435,16545,96,5691
"ENSMUSG00000039323",1318,5691,6101,794,1693,1277,2612,1189,1257,2912,2604,228,5,4259,2067,1417,617,4276,1347,0,1073,1513,1283,2847,1766,2349,2273,1756,1975,4,52,2386,949,1880,2417,2267,2279,957,5612,4129,21,1263,1427,6907,1991,2810,261,1553,2292,2830,1671,1396,8940,4454,13169,1363,4480,2616,2334,9249,1043
"ENSMUSG00000032231",5089,113,0,8889,0,4750,1078,14,1621,449,3689,368,696,777,0,0,0,1614,0,5315,55,210,749,635,1023,1682,962,478,0,0,866,2070,27,313,1462,669,0,1137,0,2,714,1312,42,1572,2126,630,0,1985,771,2,15543,8210,719,782,3,369,4801,0,0,3345,0
"ENSMUSG00000020427",349,2085,2848,10273,2,2023,952,2711,579,54,1921,1,0,893,0,87,0,408,0,13182,243,2,4,848,356,4288,3746,4334,4,3,2083,458,0,334,1223,403,0,992,0,2352,0,1806,5941,1941,4079,1419,92,0,1866,1649,1343,6478,747,1071,4684,6247,2266,287,366,3647,2
"ENSMUSG00000001473",8016,1776,3284,6514,1224,1569,7514,1976,3443,901,4014,274,1002,22,1146,0,163,411,58,4354,2077,72,435,62,2069,1445,2631,2,41,823,1396,1031,631,2,1716,363,474,1559,631,1498,137,1999,1930,784,1628,1447,372,465,2043,1328,11311,1208,1229,2130,289,1105,3894,0,1629,1982,199
"ENSMUSG00000029761",9480,1248,1600,2324,402,1883,2154,1555,1405,485,5804,29,657,136,44,3,0,1297,18,3443,110,0,194,47,99,700,0,1179,0,0,100,2924,370,220,3862,28,1024,845,107,529,1,1595,426,2164,3071,596,4,738,1403,1935,7904,10674,768,3651,3383,2018,2407,0,191,3908,0
"ENSMUSG00000026600",7361,501,6460,8463,921,2093,3484,1536,297,1282,4062,918,0,989,1015,437,0,1142,365,7416,1921,27,339,1913,602,1585,2695,438,0,601,1785,920,1866,13,418,2089,2116,1499,2586,1589,3366,3258,3066,1299,3807,862,278,1049,6220,2049,2158,5914,3223,2095,6078,3680,5463,810,165,3947,0
"ENSMUSG00000000078",782,620,21,747,47,5868,2342,3481,81,891,2379,2056,665,8,477,559,26,765,399,3655,1360,362,572,204,3485,2791,1049,428,16,111,13,2497,24,150,946,568,121,1762,44,735,1647,1518,1208,1042,1384,538,363,488,3965,2864,14695,3908,1345,1448,5400,62,5569,90,1151,2442,458
"ENSMUSG00000032494",2,3515,619,2513,1445,234,4637,745,4401,3920,0,3196,1420,3711,3060,102,7705,4413,2045,176,2418,4918,2021,2761,642,3084,7183,5967,941,1530,3465,1920,3522,1290,2715,5421,3545,1148,3060,2491,4313,1637,3248,2392,3458,1580,1293,2487,5240,3889,144,940,4889,5403,3,4982,468,5211,1391,6762,2443
"ENSMUSG00000021843",3640,10998,6119,4499,750,1920,3298,922,1848,2780,5545,2833,2029,1142,1158,489,1108,7897,1511,2760,1127,351,424,1553,2260,4407,2265,4588,0,455,1889,857,2916,437,918,1874,1824,1155,1289,1475,1,1937,5828,1609,1803,1803,49,3874,6531,3998,6125,6602,1554,2367,5373,6110,4979,659,2205,4248,0
"ENSMUSG00000033306",10870,490,610,1461,237,2222,232,336,555,465,4924,955,1451,242,5,0,396,1436,0,1627,351,420,149,0,320,116,0,23,0,0,0,929,13,0,1837,341,869,1382,117,673,621,971,1998,1076,3272,520,2,936,453,920,8735,4753,1709,3134,2147,1166,1363,122,0,1051,322
"ENSMUSG00000047501",2989,706,0,0,566,393,2602,705,486,296,3166,466,22,344,30,0,0,0,313,1,2,0,268,966,2013,1544,14,346,0,170,0,193,14,1500,245,463,1,29,4,244,49,916,172,1192,1417,0,0,1,1,222,13783,3987,1402,5505,2460,1235,1560,0,1349,1048,0
"ENSMUSG00000040152",9942,395,0,33,0,0,0,98,611,4233,2523,0,0,0,0,0,0,202,0,4122,333,0,0,123,346,0,311,0,0,0,0,34,0,0,1111,0,0,1415,0,1719,0,2190,52,0,888,0,0,11,838,2521,5742,6965,404,642,1,4,2900,0,326,1693,0
"ENSMUSG00000004665",4441,2379,6769,7808,543,1921,4144,3013,1232,796,3476,1391,186,0,444,8,151,1106,0,5240,1140,842,0,612,470,156,464,274,1551,4,299,3049,857,0,2511,543,205,2540,0,1034,0,2912,1542,568,3132,72,180,1692,1817,2979,8289,7138,858,1657,2287,1713,3365,74,2010,3091,0
"ENSMUSG00000025283",4771,1087,2317,2408,0,826,1349,1422,1881,212,1385,242,135,0,46,269,714,1555,140,1859,278,0,686,1120,392,714,1712,3339,257,648,364,246,909,272,250,836,286,92,143,653,1136,1714,408,338,6177,85,348,391,8160,814,5413,13861,751,289,3220,3235,1924,355,118,2179,100
"ENSMUSG00000026421",3168,0,2872,5646,497,707,3602,477,845,510,2032,178,5,637,212,0,112,0,4,2924,528,0,0,154,1589,462,2,1279,2,0,345,4815,0,0,1758,2,202,702,220,1551,4,1732,376,936,6018,0,182,91,1275,1402,12189,3163,1705,1387,706,440,2485,0,0,992,0
"ENSMUSG00000032348",0,1729,2019,1015,896,124,353,945,2583,2545,79,2300,3596,2336,3298,4809,4599,2994,5078,0,1231,2950,4248,3219,1410,239,1250,803,3883,1267,3,429,1075,7960,1020,3512,2368,545,6453,707,3741,2,896,2,164,840,4192,2324,214,667,8,0,1744,2216,351,493,803,6779,9712,1830,5004
"ENSMUSG00000026970",3415,2169,3562,6547,111,4040,3476,2695,1347,1288,5455,867,570,475,147,195,135,1550,256,2838,999,54,430,160,1568,746,449,1931,4,436,1143,1081,626,2,4412,476,772,1680,0,585,6,2546,921,1236,1263,1309,66,1402,1993,2197,6873,4816,363,5699,1382,5421,1664,1026,2592,2318,18
"ENSMUSG00000031207",2204,1730,1660,3925,1248,1417,2215,1191,1604,818,5430,144,2,38,243,1305,4,0,396,2344,69,7,67,147,1355,953,97,217,292,736,922,1164,0,77,1,0,0,818,415,41,33,1090,2622,1022,899,199,62,429,75,547,12073,1046,310,552,1037,239,2101,472,918,1028,1
"ENSMUSG00000051176",265,0,0,18,13,5,0,0,351,0,0,231,5480,23,100,3911,5905,3,5160,0,136,4368,6962,0,133,77,1,0,5882,0,1,36,0,7400,133,178,20,3,10,145,344,6,0,184,1,0,1397,0,124,102,0,0,0,2,0,2,33,0,4445,650,4682
"ENSMUSG00000020644",138,1441,364,2304,330,4,0,181,895,448,6279,4696,68,23,0,0,0,3568,0,255,596,329,0,1142,1333,995,0,1449,0,673,0,868,1386,0,3539,2095,368,4825,0,68,1264,797,0,743,1763,618,147,948,1840,6231,272,5795,1045,2823,334,2319,1401,188,846,2263,339
"ENSMUSG00000024795",5390,949,839,785,1136,572,1155,1331,2137,3274,2572,2330,2031,0,940,2197,2114,2365,735,768,1381,1755,2141,975,3167,790,2343,2539,574,13,3,80,1024,4318,1017,1107,2365,587,1800,667,7689,771,2189,879,1328,7,2359,0,3790,209,11,2499,2067,628,0,1063,5850,1630,6664,5498,194
"ENSMUSG00000030342",2652,979,154,3107,511,2163,3288,1884,565,849,3242,306,2324,275,163,1590,829,969,4,6945,1554,1128,1504,0,2141,3214,500,3014,1330,2259,1408,630,1470,1796,1409,5,0,1180,412,188,484,1017,431,1239,1874,717,673,606,987,2172,7082,3965,5,2778,0,2017,3350,2550,6325,2727,3286
"ENSMUSG00000036030",915,4055,3061,2634,409,949,1740,963,613,2686,3820,951,2,1932,1064,95,84,2029,0,3717,111,2,252,1695,855,2227,2335,2078,85,651,2454,610,1379,236,640,2179,3785,807,27,826,203,912,3959,2071,1771,1554,30,5409,3882,2185,2905,1862,2312,6144,8930,1866,1743,2776,1249,1337,0
"ENSMUSG00000027478",2118,2874,1195,968,6440,222,1780,4009,3210,910,1528,5545,858,5761,2358,2,388,4151,1617,25,2360,2519,2348,1811,1766,556,2578,1915,2083,4223,30,340,2046,1507,1792,9943,2801,609,8888,2827,922,1824,4164,844,1088,1569,524,1506,2002,1191,1084,0,275,1020,0,123,49,7235,2988,0,207
"ENSMUSG00000026193",1243,282,4936,2278,243,1403,84,59,876,389,4962,249,160,167,540,416,0,0,356,5540,1394,53,931,193,632,143,370,1182,9,282,9428,0,635,127,18,341,0,1460,1190,41,359,108,106,236,417,2887,37,0,6,231,9319,2951,86,614,992,486,1447,16,644,94,1796
"ENSMUSG00000030246",4987,2144,10261,4164,1067,1051,5121,1364,1728,507,1712,62,11,1561,0,306,294,338,2107,3761,2104,323,74,1893,534,1060,1170,5360,1216,630,1155,1422,0,2907,305,342,796,393,0,302,5,1608,3911,4825,2314,784,398,555,4249,1217,1753,1028,1973,1824,2863,1363,4059,379,3719,1611,2181
"ENSMUSG00000044221",1919,661,1407,2402,1444,283,1075,483,1234,52,1677,391,1715,0,206,119,1247,1047,485,6471,174,613,730,152,1534,15,248,7381,716,299,869,61,568,0,1995,15,296,551,915,1008,1224,471,70,795,1303,5,6,871,1238,82,8178,965,1853,216,5212,1507,3554,493,441,107,1139
"ENSMUSG00000003779",152,126,1088,10,1998,148,2507,565,300,1369,3598,3321,1401,10,1005,554,123,2095,199,125,2457,3512,607,1075,1292,1591,1628,375,71,11,179,298,740,1108,834,533,2834,1296,34,698,843,1447,2298,1167,551,132,130,0,2652,713,22,156,460,492,38,97,380,1217,7819,2108,132
"ENSMUSG00000028211",1255,2655,1688,3048,332,45,2719,3288,391,1183,5640,642,746,3193,170,245,3165,283,975,95,311,442,1281,1991,1187,491,0,2865,0,207,388,1577,593,2576,654,0,1223,608,12,451,3,271,6574,1641,4936,587,146,1654,1660,38,1833,4151,3251,2088,562,3315,5038,0,1882,3145,1508
"ENSMUSG00000028269",0,1136,2571,6812,43,246,1881,2,0,0,1110,0,0,0,0,0,0,3129,5,4583,0,0,0,334,14,319,621,4837,0,254,1631,0,0,0,0,0,0,311,0,1289,0,1442,106,343,1517,0,0,440,2426,0,1867,1441,0,0,478,1675,8959,0,0,1623,0
"ENSMUSG00000021477",6445,2493,2982,2776,797,5150,4151,3160,2622,1524,2657,2237,704,1414,752,0,0,2481,415,6007,1483,1,975,3342,3107,2579,736,922,86,798,1338,1585,3300,785,1510,997,1200,1940,228,726,3946,2732,806,444,1751,1023,681,3365,1642,536,3755,1945,24,1753,964,5076,2291,4499,2074,3157,573
"ENSMUSG00000021048",292,906,4298,323,828,310,1735,2918,797,1060,2956,1372,2767,274,1292,2221,6,2657,2991,93,747,2449,2729,1731,521,206,942,175,1119,1542,462,3129,1663,2796,1281,3623,2360,1818,3466,825,132,400,268,1927,1320,1650,3182,1900,551,1444,0,0,3365,207,875,1866,0,826,7315,1450,1657
"ENSMUSG00000041431",1669,1797,2381,420,2608,1969,1242,2552,2691,5945,6000,3919,25,35,1100,1659,2164,3131,638,1852,3468,3201,1170,500,5185,1434,2537,1499,852,309,0,275,950,4175,1168,2630,220,223,971,1210,2938,771,2069,537,770,267,3689,1,3475,1020,0,2814,640,1963,0,796,2504,1725,5598,6432,323
"ENSMUSG00000059743",797,3373,5192,3559,82,288,1668,401,2019,5415,972,679,7,780,869,950,1356,447,838,1256,905,296,614,969,138,1347,2524,9990,1179,0,698,578,399,0,422,2164,0,855,3242,900,868,205,4858,995,610,1228,283,1257,1049,2501,3174,1822,1071,929,929,855,368,427,3508,451,1095
"ENSMUSG00000031093",1096,1433,1195,1083,153,1686,7695,547,854,802,626,31,0,237,807,170,0,3399,53,3909,144,0,33,1836,1786,24,719,54,734,0,1188,1229,585,3,3135,37,1,1153,0,589,0,2997,3159,1438,331,1046,0,88,1451,3908,2447,3401,204,690,1136,3075,6416,444,0,1432,0
"ENSMUSG00000025764",985,1551,3060,6333,2933,198,98,2940,284,2778,1695,2360,3811,2065,1639,5286,3339,1694,5600,1549,2634,5369,2945,0,2352,2100,1006,7,1721,1342,20,36,310,2608,1692,2976,944,1813,412,643,2135,80,467,510,130,2117,1917,2041,1364,2364,1338,196,0,3707,799,938,1931,1703,3879,2701,4836
"ENSMUSG00000028173",7506,2066,1061,1856,2,505,1923,233,0,0,2476,17,0,443,0,0,0,1169,0,4456,0,0,41,78,76,518,128,25,0,0,336,227,0,0,193,0,47,678,12,172,0,1331,340,545,224,0,0,826,1127,1045,3768,6717,178,144,1151,449,3074,0,0,1,0
"ENSMUSG00000025491",1637,844,6693,4605,418,222,1430,2,567,103,369,124,343,397,193,6085,290,165,820,836,291,343,109,205,0,2031,790,3324,2439,880,875,126,3,5922,712,324,14,244,535,514,201,206,905,1276,2820,197,511,209,1023,0,577,794,732,52,2988,1646,1466,228,2972,943,6060
"ENSMUSG00000031799",5732,1063,2249,3047,1433,631,3260,2906,1775,388,2281,210,0,356,307,0,165,1914,144,3424,844,0,0,232,1599,1805,36,1328,225,0,1176,380,1274,0,1794,1260,608,1448,11,1397,2,464,1793,284,3200,225,319,1585,2321,2395,4996,4922,1889,2755,1396,1576,2550,500,2,2295,0
"ENSMUSG00000029752",1012,926,474,669,1517,1481,775,2042,1974,986,3575,2627,1309,89,362,2528,1241,4039,4,1603,3959,250,92,134,1706,2510,403,1991,1139,2218,624,682,3351,4183,2999,618,813,490,2876,575,5326,684,1961,3504,826,0,521,911,1060,0,4142,2229,425,201,657,1776,2295,0,6158,2915,882
"ENSMUSG00000031328",1404,4487,4576,3037,523,1570,4205,3265,525,1628,3869,485,218,968,270,15,718,540,912,2633,1282,281,822,1283,291,557,852,620,1065,733,1916,2058,0,3,191,1361,818,2752,467,12,5,2474,1220,1334,6027,1557,1320,2694,1250,1230,3433,1654,5614,4700,531,35,1849,641,303,1807,0
"ENSMUSG00000028195",422,3,1181,2864,519,188,2,1746,0,214,903,11,211,10,37,0,0,0,0,2205,5,1,0,1538,3633,801,295,0,0,46,0,1469,231,0,0,0,152,703,0,0,0,515,471,377,995,0,0,955,1346,5290,12774,1806,2424,18,1685,2,820,0,0,1,0
"ENSMUSG00000000948",415,5985,7569,3984,2509,1033,1026,534,3936,2766,359,624,2335,3503,3916,730,2893,3841,15,725,2600,1378,1617,853,1470,231,1311,3972,906,3123,376,318,998,1529,1429,3630,1421,920,2306,1598,3287,1196,4530,0,1221,1718,2103,1231,2058,765,4,3035,1313,998,748,0,589,2600,1326,469,964
"ENSMUSG00000024308",1010,2213,1024,4689,70,182,2375,0,2,49,820,73,2,179,94,0,35,436,1,4504,0,12,110,439,0,1014,1240,2982,31,409,1998,2,166,728,47,203,96,602,611,25,0,2004,3027,2336,1641,1014,0,624,1524,295,3716,2293,14,0,1418,1334,2889,269,4,885,0
"ENSMUSG00000030934",2440,903,1255,396,468,1519,277,0,254,111,1168,272,1,392,1258,0,1,0,2,3196,1146,0,353,1347,0,4,559,7402,101,441,902,408,0,549,1,236,0,392,7,108,0,1308,212,458,830,544,0,3,1276,476,2022,1955,927,933,912,1449,3048,3,0,95,0
"ENSMUSG00000006442",915,2261,3132,2553,3608,1377,1291,827,1722,879,592,3545,1724,1408,2537,4246,3,2279,1279,895,3519,2713,2114,483,1488,528,1470,454,2380,787,320,1024,770,0,1194,5783,2802,1258,1439,1386,2174,0,1021,1024,361,1565,1792,306,716,898,3,1198,905,1503,1224,1066,1437,793,580,1300,1969
"ENSMUSG00000079197",1649,1482,4768,2428,1011,576,2360,125,303,1032,1474,2013,0,666,280,0,397,3785,223,3514,86,86,310,2299,568,1546,1812,10031,131,1415,1781,98,94,0,150,2590,3379,413,1845,377,157,1436,2690,1087,2013,2270,68,1556,4038,1035,1910,4730,1799,0,3850,1828,4506,769,1095,2130,308
"ENSMUSG00000026380",213,11,608,0,0,0,293,1016,404,145,190,786,128,0,1,3119,1063,0,3828,62,80,334,4320,1438,686,0,34,0,582,222,7,353,116,2473,11,0,2,194,0,0,0,0,0,0,106,100,0,0,0,0,706,0,0,0,873,15,277,0,5999,10,748
"ENSMUSG00000051855",1440,433,8151,2521,749,944,2523,0,649,72,27,1226,832,960,337,220,0,3097,1110,937,1374,623,139,25,2107,1,219,668,0,0,196,1,1535,89,324,779,2494,1223,0,445,1,299,2,0,0,13,697,2251,39,1157,2155,921,0,42,3852,1017,130,1043,0,723,92
"ENSMUSG00000027070",727,6695,2716,858,2112,2464,515,644,132,0,3412,0,408,0,364,6,0,193,0,359,953,0,802,0,2868,784,571,215,0,163,46,1474,19,391,925,907,1766,1268,292,596,4,4045,1085,4614,2917,0,63,737,857,5853,352,2165,236,1921,2736,1114,4860,780,4,380,0
"ENSMUSG00000030978",91,2725,4594,4559,2534,556,3705,2054,3262,975,1469,2169,217,0,2412,310,49,3443,1691,2510,1544,250,1136,1238,1420,485,2649,1676,194,1543,1822,1357,5030,2957,2917,2219,2524,2636,534,1294,10,1138,1599,771,85,268,950,0,839,2187,73,674,2279,2231,133,1363,2792,479,5199,332,1280
"ENSMUSG00000046223",404,1024,0,1032,11,691,696,3272,286,747,652,21,0,0,104,0,0,639,113,0,1297,360,4,0,1038,672,0,0,0,429,280,1615,0,0,0,0,0,744,430,887,0,27,0,207,1460,0,0,564,642,0,12620,3121,4,2708,310,0,52,265,0,1840,0
"ENSMUSG00000005609",1808,1096,9329,861,1328,881,98,1633,344,683,2368,644,712,1109,275,1204,1705,1967,0,1321,393,466,222,890,635,808,249,0,286,1235,145,1005,321,1101,0,771,154,88,477,813,282,735,766,779,156,752,585,2057,896,0,1568,158,1837,1657,6004,620,2954,0,3274,2207,123
"ENSMUSG00000000184",0,0,528,0,189,236,0,63,1,0,1069,0,0,500,197,820,0,367,1002,0,4,513,0,344,882,0,0,0,0,1633,2,77,463,0,0,3583,2406,661,768,2,0,352,2,0,0,1461,2914,1913,1,362,639,433,0,137,9348,0,0,830,496,443,54
"ENSMUSG00000019139",379,170,1,931,503,576,957,260,88,615,413,1418,0,74,1462,25,0,2185,0,0,1946,786,597,1165,1488,568,332,1076,44,265,210,654,446,590,0,6048,1118,878,32,970,39,676,2085,324,56,80,361,1909,974,420,146,719,623,364,1252,531,0,3897,763,452,567
"ENSMUSG00000019960",1064,269,1976,3918,7,1050,871,4252,369,3186,224,4980,0,1019,240,178,6,2257,15,2132,2299,25,13,1258,1719,479,530,1300,2,309,2475,1222,3330,3,48,1892,246,2658,45,310,0,3290,956,251,181,813,1489,280,2864,1732,1560,323,1798,713,2673,2216,3225,4,795,746,15
"ENSMUSG00000018340",6314,1413,1228,3,414,649,1592,0,0,0,682,0,111,1056,0,1064,0,0,561,3838,984,526,172,110,5,0,0,0,179,0,0,509,0,871,350,0,42,989,1,0,257,0,21,938,1828,26,0,0,0,1079,7289,408,0,1306,0,0,2283,0,430,32,1199
"ENSMUSG00000025278",484,1101,515,6253,59,983,3274,1234,1,885,11037,444,287,2256,758,162,0,1863,0,4504,1082,285,62,678,1347,2494,268,423,296,24,587,1534,4,0,358,150,1550,1817,313,597,0,1505,2788,2800,5205,597,26,42,658,1607,2860,2712,2426,1427,2530,1695,432,323,358,1692,875
"ENSMUSG00000002068",227,1307,726,1298,4200,48,1777,511,1726,663,497,491,2931,737,2014,4350,4138,3543,1495,721,3742,508,291,22,232,1819,40,1633,785,1588,305,546,1737,2,811,3175,1333,1987,18,692,317,314,1108,361,1,0,268,220,869,475,1359,21,0,1207,4,0,1200,2245,3898,1169,1327
"ENSMUSG00000047146",13,432,417,911,1140,2,115,778,667,1677,297,1673,4863,2700,1835,1734,907,449,3414,1,1375,1344,5459,637,668,373,318,972,1804,1862,612,528,680,3708,1423,744,983,259,2778,375,1391,293,449,653,2,0,5565,1336,147,418,2,0,146,384,105,479,302,812,3688,176,4758
"ENSMUSG00000020649",1993,1950,3176,1995,2197,647,554,976,1267,95,1905,447,1199,57,1546,1570,1986,4818,574,1760,887,1288,970,1763,234,2951,1158,3049,306,0,351,1116,1845,2013,1802,1238,3642,2475,135,1615,2151,926,2308,1159,370,368,795,1,0,364,1371,1664,588,3650,0,0,2040,1696,1710,964,1612
"ENSMUSG00000019942",2242,3484,452,1106,943,2387,1493,1199,1918,4773,5718,2840,1355,2,1016,773,1004,2153,845,802,2942,42,1551,1049,2106,1134,4446,2685,1254,54,466,429,93,2094,1203,2083,2901,1201,2591,134,798,492,456,124,813,0,3948,0,2686,680,1036,3090,2186,369,6,458,2297,2595,162,4190,299
"ENSMUSG00000007891",2849,709,2877,2435,1245,1011,6137,2948,777,1314,4205,1417,1584,71,643,514,355,1428,1450,3506,1225,1095,1716,3537,1911,116,716,1,1406,0,1043,5696,826,2472,1893,257,52,54,1355,821,1544,2804,1321,2742,1168,1220,1243,3172,1354,596,2592,3553,3152,3203,2621,2222,1755,0,952,447,1408
"ENSMUSG00000069833",1157,1761,617,3830,35,3403,2842,3502,45,662,2837,121,74,0,0,131,0,210,113,2232,902,526,38,67,2166,1570,176,1542,6,5,341,1004,19,426,1114,14,86,2003,1,324,2,1547,314,2133,952,0,0,619,1910,1207,4837,4355,598,573,654,1095,1730,0,161,2118,21
"ENSMUSG00000000730",0,0,0,0,239,0,0,0,1054,14,0,477,715,25,46,105,765,0,1964,0,1660,1029,833,0,410,0,0,0,10,19,0,0,1519,240,0,97,5,0,6896,0,2979,0,0,0,1147,0,173,469,225,0,0,0,0,0,0,0,0,9,0,26,0
"ENSMUSG00000021823",9185,130,602,1420,848,1220,1678,1509,692,1419,2409,395,0,85,284,0,68,1618,1926,4819,365,168,409,116,1494,146,29,13,450,105,369,2456,0,333,663,610,4,693,9,2297,0,1175,983,896,590,650,76,1058,1987,1055,4645,1624,951,451,1303,2588,1434,111,684,447,709
"ENSMUSG00000020184",3001,1712,1193,978,203,370,3981,522,136,956,2961,401,116,1,235,45,358,0,42,895,284,67,526,149,954,2318,448,446,53,1001,495,251,0,2452,1017,468,3367,1154,161,1048,818,454,5822,183,1364,60,668,306,381,2,1858,2467,1293,66,934,1061,1763,362,568,2891,1010
"ENSMUSG00000022186",2,965,364,4501,1828,835,2708,3719,756,2391,2221,82,658,175,180,533,0,429,86,2225,300,0,127,1002,1096,1396,357,2488,910,676,362,1727,1048,352,2193,1102,8,984,1182,776,37,727,2098,0,549,0,10,1025,80,1982,768,4071,80,342,645,422,2573,264,0,2094,0
"ENSMUSG00000027359",0,5785,42,0,541,0,635,17,569,2253,0,1773,46,584,1431,730,0,170,462,0,1180,3,131,0,1552,711,623,202,361,10,2,20,2812,0,0,1157,0,0,0,2931,0,0,22,436,631,0,0,442,805,797,0,0,471,1178,0,2,0,711,0,163,0
