"Gene_id","A02","A03","A04","A05","A06","A07","A09","A10","B01","B02","B03","B04","B05","B06","B07","B09","B10","C01","C02","C03","C04","C05","C07","C09","C10","D01","D02","D04","D05","D06","D07","D09","D10","E01","E02","E03","E05","E07","E09","E10","F01","F02","F03","F04","F05","F06","F07","F09","G01","G02","G03","G05","G06","G07","G09","G10","H01","H02","H03","H09","H10"
"ENSMUSG00000021692",271,1061,511,2502,1539,976,0,635,209,1026,1188,1194,1088,93,661,353,1446,2021,630,1541,504,999,608,295,700,1291,1295,0,201,1080,532,265,781,0,1113,1809,953,789,1290,419,3038,0,419,270,863,239,433,208,1955,1436,60,973,518,1391,179,686,1691,1529,651,662,523
"ENSMUSG00000027634",0,267,4447,0,433,0,0,0,0,246,15,695,0,740,1,0,0,97,0,998,439,0,0,0,66,336,3,1129,458,0,1031,0,0,0,56,2,366,90,4,426,9,239,539,384,0,81,0,0,0,754,0,654,0,0,0,187,0,1,1,0,0
"ENSMUSG00000017774",316,1731,898,3227,861,281,453,1204,840,788,630,583,0,0,0,1108,0,746,120,1667,1107,2,198,367,1870,0,334,0,1,34,499,846,0,384,1834,591,0,716,1059,25,0,284,0,14,234,0,0,859,39,102,1769,125,0,2118,496,759,459,0,0,809,0
"ENSMUSG00000017499",428,1923,4,969,115,9,0,0,95,813,0,0,694,0,757,84,0,1962,4,2770,0,128,57,486,11,54,567,269,72,0,0,666,740,4,59,935,0,907,6,2412,726,0,162,343,82,0,682,0,0,171,86,624,468,1888,0,933,0,954,3,258,118
"ENSMUSG00000038056",0,2,117,0,804,1024,0,479,2375,139,130,1520,89,29,24,580,3048,42,478,6,654,291,531,487,805,482,450,0,359,523,353,471,126,0,1434,75,1033,191,32,0,2004,3,11,30,14,0,89,329,345,0,3,220,0,0,4,0,1,0,187,0,1271
"ENSMUSG00000037270",2451,204,504,1121,0,357,2539,50,290,580,1132,25,0,54,25,737,63,1025,1132,357,656,314,466,200,700,61,709,0,733,303,1642,2732,1351,1827,1169,28,1232,38,15,274,549,0,102,326,281,0,501,316,0,10,1202,1792,249,2019,1254,1152,1263,0,1073,306,0
"ENSMUSG00000021635",0,2,4,695,113,210,1158,630,543,1585,713,803,0,27,213,219,238,214,1097,325,377,0,4,105,377,383,535,569,288,0,226,116,87,2,1024,0,0,235,711,0,3409,484,473,108,778,0,225,90,1248,0,997,0,2,30,0,1048,336,930,2394,375,0
"ENSMUSG00000027496",16,1014,1170,799,2059,150,0,654,0,1571,1030,1074,51,0,541,210,0,1113,70,329,1081,962,2682,619,1712,35,1584,731,263,0,0,0,0,3,3,1226,910,663,453,114,1949,0,492,0,21,0,1259,0,846,139,0,1937,0,11,0,0,1617,442,846,308,0
"ENSMUSG00000021767",0,0,0,0,6,18,17,0,2,34,387,437,749,89,114,744,2033,157,1756,0,150,397,3186,113,300,217,0,9,519,596,234,64,0,1909,29,591,14,150,4,0,623,87,2,1,0,9,427,95,156,0,118,67,291,7,0,268,229,69,1594,0,1180
"ENSMUSG00000022570",116,4,2451,2237,668,409,724,375,576,222,15,775,0,357,381,499,2444,624,956,672,750,289,1458,646,478,0,438,814,1874,1702,576,1188,1064,781,450,798,122,270,536,335,585,343,370,1889,288,3,109,1008,518,112,527,0,46,727,1600,812,1301,0,212,0,0
"ENSMUSG00000062937",999,387,419,444,1300,4,599,917,97,389,1453,68,84,0,131,222,820,721,54,2335,290,0,385,570,742,167,99,3857,145,458,146,186,745,801,269,38,33,601,109,66,139,786,16,114,236,0,225,218,863,299,248,846,0,196,0,1270,0,0,0,260,308
"ENSMUSG00000021591",219,0,2112,2735,3,84,1459,86,135,1253,224,0,0,22,0,0,0,424,0,719,0,0,89,329,0,1225,0,0,276,0,183,22,0,0,421,0,0,506,448,41,0,304,0,555,1000,0,0,0,1340,0,408,2370,1043,0,714,186,73,260,0,157,141
"ENSMUSG00000022378",988,3604,1016,387,807,629,1053,102,4,113,1334,647,0,317,331,1152,0,882,849,1736,561,931,687,745,541,811,396,747,0,552,661,3,0,647,116,18,66,839,31,88,4,172,170,88,656,785,888,449,497,19,880,1816,1136,1358,408,597,501,962,3332,1016,110
"ENSMUSG00000021112",1531,348,32,1004,786,213,55,457,558,74,962,14,0,0,361,0,667,22,0,276,349,123,42,983,370,694,1485,2,137,2,399,25,1390,0,712,2,0,111,174,539,0,382,1310,5,428,733,0,743,1070,1131,952,699,54,3019,1000,2436,2655,1574,435,1204,0
"ENSMUSG00000010755",0,0,1440,893,141,1068,196,0,737,300,22,285,1418,4,189,1827,37,823,2252,0,535,88,1085,23,1128,0,296,1952,714,37,19,100,531,2607,2,62,0,702,26,277,0,0,661,70,26,0,14,116,163,0,0,4,10,0,0,0,924,242,0,92,141
"ENSMUSG00000038416",26,607,903,462,365,1321,1065,160,642,863,423,3,0,379,29,100,64,972,1284,1390,1002,0,147,50,0,382,1383,541,0,50,359,738,263,1215,0,27,17,192,2,972,1378,2,0,108,1781,0,803,2,355,0,35,1129,108,804,1088,1103,2428,3559,0,254,0
